email_text,label
"Hola, notamos actividad inusual en tu cuenta. Por favor verifica tus datos de inicio de sesión haciendo clic en este enlace: http://sitio-falso.com",1
"Recordatorio: Tu suscripción está a punto de vencer. Actualiza tu método de pago aquí.",1
"Hola, ¿podemos vernos para almorzar mañana?",0
"¡Felicidades! Has ganado una tarjeta de regalo de $1000. Reclámala ahora visitando http://premio-reclamo.com",1
"Estimado cliente, su compra reciente se procesó exitosamente. Gracias por comprar con nosotros.",0
"URGENTE: Tu cuenta bancaria está bloqueada. Confirma tus datos personales aquí: http://banco-falso.com",1
"Solo te envío el informe que pediste. Avísame si necesitas algo más.",0
"¡Oferta por tiempo limitado! Obtén un 50% de descuento en tu próxima compra. Haz clic aquí: http://oferta-descuento.com",1
"Hola, solo quería ver cómo estás.",0
"Tu paquete está en camino y debería llegar mañana. Rastrea aquí.",0
"Tu cuenta de PayPal ha sido deshabilitada temporalmente. Reactívala iniciando sesión en http://paypal-seguro.com",1
"Hola equipo, adjunto las diapositivas para la presentación de mañana.",0
"Recordatorio amistoso: el pago vence la próxima semana. Háznos saber si tienes alguna pregunta.",0
"Aviso de suspensión de cuenta: Verifica tu información de inmediato para evitar la suspensión.",1
"No pudimos procesar tu pago. Por favor, actualiza los detalles de tu tarjeta aquí: http://actualizar-pago.com",1
"¿Podemos programar una llamada de seguimiento el próximo miércoles?",0
"Alerta: Se detectó un inicio de sesión sospechoso. Confirma tus detalles aquí para asegurar tu cuenta.",1
"Gracias por registrarte con nosotros. Tu cuenta ahora está activa.",0
"¡Oferta exclusiva! Obtén una prueba gratuita registrándote hoy en http://prueba-exclusiva.com",1
"Hola, comparto las notas de nuestra última reunión.",0
"Actualización de seguridad: Hemos actualizado nuestra política de privacidad. Lee más aquí.",0
"Se requiere acción inmediata: Por favor verifica tu correo para continuar usando tu cuenta.",1
"Tu pedido ha sido enviado y llegará pronto. Rastrea tu envío aquí.",0
"Tienes un nuevo mensaje de Recursos Humanos sobre tu solicitud de permiso.",0
"Urgente: ¡Tu computadora está infectada! Haz clic aquí para instalar un software antivirus.",1
"¡Feliz cumpleaños! Tenemos un regalo especial esperándote. Reclámalo aquí.",1
"Adjunto encontrarás el informe financiero trimestral.",0
"Acción requerida: Restaura tu contraseña inmediatamente para evitar el bloqueo de la cuenta.",1
"Boletín semanal: Recibe las últimas noticias y actualizaciones en tu bandeja de entrada.",0
"Advertencia: Tu dispositivo ha sido comprometido. ¡Asegura tu cuenta ahora!",1
"Hola, por favor revisa el borrador de la propuesta del proyecto y dime tus pensamientos.",0
"Alerta del sistema: Tu cuenta de correo será eliminada a menos que verifiques tu inicio de sesión.",1
"Nuevas oportunidades de trabajo disponibles. Conócelas aquí.",0
"Promoción especial: Actualiza a premium a un precio con descuento. ¡Oferta por tiempo limitado!",1
"¡Te extrañamos! Inicia sesión ahora y disfruta de un descuento especial en tu próximo pedido.",1
"¡Tu amigo te envió un álbum de fotos! Véalo aquí.",1
"Recordatorio: Únete a nosotros en el próximo webinar la próxima semana.",0
"Notificación de reembolso de impuestos: Eres elegible para un reembolso. Haz clic para reclamarlo.",1
"Aquí tienes el documento que solicitaste para la propuesta del cliente.",0
"Intento de acceso no autorizado detectado. Asegura tu cuenta de inmediato.",1
"No te pierdas nuestra venta de fin de año. Visita nuestra tienda para obtener grandes ofertas.",0
"Por favor llámame cuando tengas un momento para discutir el proyecto.",0
"Se necesita verificación: Tu cuenta será suspendida si no realizas ninguna acción.",1
"¡Felicidades! Has sido seleccionado para recibir una tarjeta de regalo gratuita.",1
"La reunión ha sido reprogramada para el viernes. Por favor actualiza tu calendario.",0
"Último aviso: Tu cuenta será eliminada pronto. ¡Actúa ahora!",1
"Gracias por tu compra reciente. Esperamos que disfrutes tus artículos.",0
"Tu cuenta fue accedida desde un nuevo dispositivo. ¿Eras tú?",1
"Beneficios exclusivos para miembros disponibles ahora. No te los pierdas.",1
"Hola, ¿estás disponible para una llamada rápida esta tarde?",0
"Tu transacción reciente fue exitosa. Aquí tienes los detalles.",0
"Actualización de seguridad importante disponible para tu software.",0
"Oferta limitada: ¡Compra uno y llévate otro gratis en artículos seleccionados!",0
"Verifica tu dirección de correo electrónico para continuar disfrutando de nuestros servicios.",1
"Aquí tienes tu recibo electrónico de tu compra reciente.",0
"Intento de inicio de sesión no autorizado. Asegura tu cuenta.",1
"¡Webinar gratuito sobre tendencias en ciberseguridad! Regístrate aquí.",0
"Tu paquete llegará mañana. Rastréalo ahora.",0
"Se necesita verificación inmediata para evitar el bloqueo de la cuenta.",1
"Invitación a nuestro evento de venta VIP exclusivo.",0
"Tu tarjeta de regalo de Amazon está a punto de expirar. Redímela aquí.",1
"Alerta de seguridad: Se detectó actividad sospechosa en tu cuenta de correo.",1
